========== Ground Truth: False (Unmatch) ==========

16:28:35 {'verified': False, 'distance': 0.4804315447607861, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:39 {'verified': False, 'distance': 0.5331261884771068, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:42 {'verified': False, 'distance': 0.5858179584440562, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:28:46 {'verified': False, 'distance': 0.5405260694133567, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:51 {'verified': False, 'distance': 0.4282212628433987, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:54 {'verified': False, 'distance': 0.3985393859190085, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:58 {'verified': False, 'distance': 0.4074243423117633, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:29:02 {'verified': False, 'distance': 0.4326952042471497, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:29:05 {'verified': False, 'distance': 0.42781232342087305, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:29:09 {'verified': False, 'distance': 0.4191036055073153, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:29:13 {'verified': False, 'distance': 0.42787426699904596, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:29:16 {'verified': False, 'distance': 0.29727872395422594, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:29:20 {'verified': False, 'distance': 0.30823753716563873, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
