========== Ground Truth: False (Unmatch) ==========

18:43:59 {'verified': False, 'distance': 0.40359161980761815, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:45:05 {'verified': False, 'distance': 0.32472474889651026, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:46:11 {'verified': False, 'distance': 0.3024757148508762, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:47:16 {'verified': False, 'distance': 0.29984510112125506, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:48:21 {'verified': False, 'distance': 0.2890729319479918, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:49:27 {'verified': False, 'distance': 0.28430381462192644, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:50:32 {'verified': False, 'distance': 0.27667592761888793, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:51:37 {'verified': False, 'distance': 0.29421296988126, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:52:42 {'verified': False, 'distance': 0.3065335264299578, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:53:48 {'verified': False, 'distance': 0.3149817362489352, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
