========== Ground Truth: False (Unmatch) ==========

16:08:07 {'verified': True, 'distance': 0.137203695992955, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:08:14 {'verified': True, 'distance': 0.13926240406094226, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:08:22 {'verified': True, 'distance': 0.12559951516033585, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:08:29 {'verified': True, 'distance': 0.12813428151948858, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:08:33 {'verified': True, 'distance': 0.1139289302067501, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:08:42 {'verified': True, 'distance': 0.18328828094170202, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:08:47 {'verified': True, 'distance': 0.18708038841828467, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:08:52 {'verified': True, 'distance': 0.19309392280233795, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:04 {'verified': True, 'distance': 0.18995640312922135, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 3}
16:09:09 {'verified': True, 'distance': 0.2080575035328942, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:14 {'verified': True, 'distance': 0.19679461410155907, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:19 {'verified': True, 'distance': 0.18412675350828633, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:24 {'verified': True, 'distance': 0.1647207132607139, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:29 {'verified': True, 'distance': 0.1697607017632291, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:34 {'verified': True, 'distance': 0.17530737315511347, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:38 {'verified': True, 'distance': 0.18115749220989208, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:43 {'verified': True, 'distance': 0.1690784580371737, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:09:51 {'verified': True, 'distance': 0.1766033243838695, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:10:05 {'verified': True, 'distance': 0.1322783303159495, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:15 {'verified': True, 'distance': 0.20390205771363756, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:19 {'verified': True, 'distance': 0.18662855152366675, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:24 {'verified': True, 'distance': 0.15981036115733538, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:30 {'verified': True, 'distance': 0.16463912441636386, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:35 {'verified': True, 'distance': 0.1564525577850091, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:39 {'verified': True, 'distance': 0.15576032658945715, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:44 {'verified': True, 'distance': 0.15427264858944356, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:10:50 {'verified': True, 'distance': 0.16871302816704914, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
16:10:58 {'verified': True, 'distance': 0.16563169479586037, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:11:05 {'verified': True, 'distance': 0.15938218585733055, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:11:10 {'verified': True, 'distance': 0.15836483193354234, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:15 {'verified': True, 'distance': 0.1552894284997426, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:20 {'verified': True, 'distance': 0.15530335063121536, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:25 {'verified': True, 'distance': 0.14412396358068735, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:33 {'verified': True, 'distance': 0.1443066125668625, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:11:41 {'verified': True, 'distance': 0.1461789332028256, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:11:47 {'verified': True, 'distance': 0.14172927350731368, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:51 {'verified': True, 'distance': 0.1637249946824033, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:11:57 {'verified': True, 'distance': 0.16997082327794943, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:12:02 {'verified': True, 'distance': 0.18608438992863396, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:12:10 {'verified': True, 'distance': 0.1888118520941151, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:12:18 {'verified': True, 'distance': 0.1859221418411522, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:12:22 {'verified': True, 'distance': 0.15584324658193172, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:12:27 {'verified': True, 'distance': 0.18145214103479335, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:12:32 {'verified': True, 'distance': 0.19967250131720204, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
